county,2020-01-01 00:00
adams,
alcorn,
amite,
attala,
benton,
bolivar,
calhoun,
carroll,
chickasaw,
choctaw,
claiborne,
clarke,
clay,
coahoma,
copiah,
covington,
de soto,
forrest,
franklin,
george,
greene,
grenada,
hancock,
harrison,
hinds,
holmes,
humphreys,
issaquena,
itawamba,
jackson,
jasper,
jefferson,
jefferson davis,
jones,
kemper,
lafayette,
lamar,
lauderdale,
lawrence,
leake,
lee,
leflore,
lincoln,
lowndes,
madison,
marion,
marshall,
monroe,
montgomery,
neshoba,
newton,
noxubee,
oktibbeha,
panola,
pearl river,
perry,
pike,
pontotoc,
prentiss,
quitman,
rankin,
scott,
sharkey,
simpson,
smith,
stone,
sunflower,
tallahatchie,
tate,
tippah,
tishomingo,
tunica,
union,
walthall,
warren,
washington,
wayne,
webster,
wilkinson,
winston,
yalobusha,
yazoo,
