county,2020-01-01 00:00
aitkin,
anoka,
becker,
beltrami,
benton,
big stone,
blue earth,
brown,
carlton,
carver,
cass,
chippewa,
chisago,
clay,
clearwater,
cook,
cottonwood,
crow wing,
dakota,
dodge,
douglas,
faribault,
fillmore,
freeborn,
goodhue,
grant,
hennepin,
houston,
hubbard,
isanti,
itasca,
jackson,
kanabec,
kandiyohi,
kittson,
koochiching,
lac qui parle,
lake,
lake of the woods,
le sueur,
lincoln,
lyon,
mcleod,
mahnomen,
marshall,
martin,
meeker,
mille lacs,
morrison,
mower,
murray,
nicollet,
nobles,
norman,
olmsted,
otter tail,
pennington,
pine,
pipestone,
polk,
pope,
ramsey,
red lake,
redwood,
renville,
rice,
rock,
roseau,
st louis,
scott,
sherburne,
sibley,
stearns,
steele,
stevens,
swift,
todd,
traverse,
wabasha,
wadena,
waseca,
washington,
watonwan,
wilkin,
winona,
wright,
yellow medicine,
