county,2020-01-01 00:00
adair,
andrew,
atchison,
audrain,
barry,
barton,
bates,
benton,
bollinger,
boone,
buchanan,
butler,
caldwell,
callaway,
camden,
cape girardeau,
carroll,
carter,
cass,
cedar,
chariton,
christian,
clark,
clay,
clinton,
cole,
cooper,
crawford,
dade,
dallas,
daviess,
de kalb,
dent,
douglas,
dunklin,
franklin,
gasconade,
gentry,
greene,
grundy,
harrison,
henry,
hickory,
holt,
howard,
howell,
iron,
jackson,
jasper,
jefferson,
johnson,
knox,
laclede,
lafayette,
lawrence,
lewis,
lincoln,
linn,
livingston,
mcdonald,
macon,
madison,
maries,
marion,
mercer,
miller,
mississippi,
moniteau,
monroe,
montgomery,
morgan,
new madrid,
newton,
nodaway,
oregon,
osage,
ozark,
pemiscot,
perry,
pettis,
phelps,
pike,
platte,
polk,
pulaski,
putnam,
ralls,
randolph,
ray,
reynolds,
ripley,
st charles,
st clair,
st francois,
st louis,
st louis city,
ste genevieve,
saline,
schuyler,
scotland,
scott,
shannon,
shelby,
stoddard,
stone,
sullivan,
taney,
texas,
vernon,
warren,
washington,
wayne,
webster,
worth,
wright,
