county,2020-01-01 00:00
alcona,
alger,
allegan,
alpena,
antrim,
arenac,
baraga,
barry,
bay,
benzie,
berrien,
branch,
calhoun,
cass,
charlevoix,
cheboygan,
chippewa,
clare,
clinton,
crawford,
delta,
dickinson,
eaton,
emmet,
genesee,
gladwin,
gogebic,
grand traverse,
gratiot,
hillsdale,
houghton,
huron,
ingham,
ionia,
iosco,
iron,
isabella,
jackson,
kalamazoo,
kalkaska,
kent,
keweenaw,
lake,
lapeer,
leelanau,
lenawee,
livingston,
luce,
mackinac,
macomb,
manistee,
marquette,
mason,
mecosta,
menominee,
midland,
missaukee,
monroe,
montcalm,
montmorency,
muskegon,
newaygo,
oakland,
oceana,
ogemaw,
ontonagon,
osceola,
oscoda,
otsego,
ottawa,
presque isle,
roscommon,
saginaw,
st clair,
st joseph,
sanilac,
schoolcraft,
shiawassee,
tuscola,
van buren,
washtenaw,
wayne,
wexford,
