county,2020-01-01 00:00
bernalillo,
catron,
chaves,
colfax,
curry,
de baca,
dona ana,
eddy,
grant,
guadalupe,
harding,
hidalgo,
lea,
lincoln,
los alamos,
luna,
mckinley,
mora,
otero,
quay,
rio arriba,
roosevelt,
sandoval,
san juan,
san miguel,
santa fe,
sierra,
socorro,
taos,
torrance,
union,
cibola,
valencia,
