county,2020-01-01 00:00
acadia,
allen,
ascension,
assumption,
avoyelles,
beauregard,
bienville,
bossier,
caddo,
calcasieu,
caldwell,
cameron,
catahoula,
claiborne,
concordia,
de soto,
east baton rouge,
east carroll,
east feliciana,
evangeline,
franklin,
grant,
iberia,
iberville,
jackson,
jefferson,
jefferson davis,
lafayette,
lafourche,
la salle,
lincoln,
livingston,
madison,
morehouse,
natchitoches,
orleans,
ouachita,
plaquemines,
pointe coupee,
rapides,
red river,
richland,
sabine,
st bernard,
st charles,
st helena,
st james,
st john the baptist,
st landry,
st martin,
st mary,
st tammany,
tangipahoa,
tensas,
terrebonne,
union,
vermilion,
vernon,
washington,
webster,
west baton rouge,
west carroll,
west feliciana,
winn,
