county,2020-01-01 00:00
adams,
asotin,
benton,
chelan,
clallam,
clark,
columbia,
cowlitz,
douglas,
ferry,
franklin,
garfield,
grant,
grays harbor,
island,
jefferson,
king,
kitsap,
kittitas,
klickitat,
lewis,
lincoln,
mason,
okanogan,
pacific,
pend oreille,
pierce,
san juan,
skagit,
skamania,
snohomish,
spokane,
stevens,
thurston,
wahkiakum,
walla walla,
whatcom,
whitman,
yakima,
