county,2020-01-01 00:00
beaver,
box elder,
cache,
carbon,
daggett,
davis,
duchesne,
emery,
garfield,
grand,
iron,
juab,
kane,
millard,
morgan,
piute,
rich,
salt lake,
san juan,
sanpete,
sevier,
summit,
tooele,
uintah,
utah,
wasatch,
washington,
wayne,
weber,
