county,2020-01-01 00:00
adams,
alexander,
bond,
boone,
brown,
bureau,
calhoun,
carroll,
cass,
champaign,
christian,
clark,
clay,
clinton,
coles,
cook,
crawford,
cumberland,
de kalb,
de witt,
douglas,
du page,
edgar,
edwards,
effingham,
fayette,
ford,
franklin,
fulton,
gallatin,
greene,
grundy,
hamilton,
hancock,
hardin,
henderson,
henry,
iroquois,
jackson,
jasper,
jefferson,
jersey,
jo daviess,
johnson,
kane,
kankakee,
kendall,
knox,
lake,
la salle,
lawrence,
lee,
livingston,
logan,
mcdonough,
mchenry,
mclean,
macon,
macoupin,
madison,
marion,
marshall,
mason,
massac,
menard,
mercer,
monroe,
montgomery,
morgan,
moultrie,
ogle,
peoria,
perry,
piatt,
pike,
pope,
pulaski,
putnam,
randolph,
richland,
rock island,
st clair,
saline,
sangamon,
schuyler,
scott,
shelby,
stark,
stephenson,
tazewell,
union,
vermilion,
wabash,
warren,
washington,
wayne,
white,
whiteside,
will,
williamson,
winnebago,
woodford,
