county,2020-01-01 00:00
adair,
adams,
allamakee,
appanoose,
audubon,
benton,
black hawk,
boone,
bremer,
buchanan,
buena vista,
butler,
calhoun,
carroll,
cass,
cedar,
cerro gordo,
cherokee,
chickasaw,
clarke,
clay,
clayton,
clinton,
crawford,
dallas,
davis,
decatur,
delaware,
des moines,
dickinson,
dubuque,
emmet,
fayette,
floyd,
franklin,
fremont,
greene,
grundy,
guthrie,
hamilton,
hancock,
hardin,
harrison,
henry,
howard,
humboldt,
ida,
iowa,
jackson,
jasper,
jefferson,
johnson,
jones,
keokuk,
kossuth,
lee,
linn,
louisa,
lucas,
lyon,
madison,
mahaska,
marion,
marshall,
mills,
mitchell,
monona,
monroe,
montgomery,
muscatine,
obrien,
osceola,
page,
palo alto,
plymouth,
pocahontas,
polk,
pottawattamie,
poweshiek,
ringgold,
sac,
scott,
shelby,
sioux,
story,
tama,
taylor,
union,
van buren,
wapello,
warren,
washington,
wayne,
webster,
winnebago,
winneshiek,
woodbury,
worth,
wright,
