county,2020-01-01 00:00
adams,
allen,
ashland,
ashtabula,
athens,
auglaize,
belmont,
brown,
butler,
carroll,
champaign,
clark,
clermont,
clinton,
columbiana,
coshocton,
crawford,
cuyahoga,
darke,
defiance,
delaware,
erie,
fairfield,
fayette,
franklin,
fulton,
gallia,
geauga,
greene,
guernsey,
hamilton,
hancock,
hardin,
harrison,
henry,
highland,
hocking,
holmes,
huron,
jackson,
jefferson,
knox,
lake,
lawrence,
licking,
logan,
lorain,
lucas,
madison,
mahoning,
marion,
medina,
meigs,
mercer,
miami,
monroe,
montgomery,
morgan,
morrow,
muskingum,
noble,
ottawa,
paulding,
perry,
pickaway,
pike,
portage,
preble,
putnam,
richland,
ross,
sandusky,
scioto,
seneca,
shelby,
stark,
summit,
trumbull,
tuscarawas,
union,
van wert,
vinton,
warren,
washington,
wayne,
williams,
wood,
wyandot,
