county,2020-01-01 00:00
allegany,
anne arundel,
baltimore,
calvert,
caroline,
carroll,
cecil,
charles,
dorchester,
frederick,
garrett,
harford,
howard,
kent,
montgomery,
prince georges,
queen annes,
st marys,
somerset,
talbot,
washington,
wicomico,
worcester,
baltimore city,
