county,2020-01-01 00:00
adams,
antelope,
arthur,
banner,
blaine,
boone,
box butte,
boyd,
brown,
buffalo,
burt,
butler,
cass,
cedar,
chase,
cherry,
cheyenne,
clay,
colfax,
cuming,
custer,
dakota,
dawes,
dawson,
deuel,
dixon,
dodge,
douglas,
dundy,
fillmore,
franklin,
frontier,
furnas,
gage,
garden,
garfield,
gosper,
grant,
greeley,
hall,
hamilton,
harlan,
hayes,
hitchcock,
holt,
hooker,
howard,
jefferson,
johnson,
kearney,
keith,
keya paha,
kimball,
knox,
lancaster,
lincoln,
logan,
loup,
mcpherson,
madison,
merrick,
morrill,
nance,
nemaha,
nuckolls,
otoe,
pawnee,
perkins,
phelps,
pierce,
platte,
polk,
red willow,
richardson,
rock,
saline,
sarpy,
saunders,
scotts bluff,
seward,
sheridan,
sherman,
sioux,
stanton,
thayer,
thomas,
thurston,
valley,
washington,
wayne,
webster,
wheeler,
york,
